sentence_id,verb_id,verb,verb_ls,sentence
0,0,left,"left, get","Long, long ago, far, far away on the other side of the world, some young men left the camp where they lived to get some food for their wives and children. "
1,4,tried,"liked, went, tried","The sun was hot, but they liked heat, and as they went they ran races and tried who could hurl his spear the farthest, or was cleverest in throwing a strange weapon called a boomerang, which always returns to the thrower. "
2,2,reached,reached,"They did not get on very fast at this rate, but presently they reached a flat place that in time of flood was full of water, but was now, in the height of summer, only a set of pools, each surrounded with a fringe of plants, with bulrushes standing in the inside of all. "
3,4,collect,"think, said, collect, carry","In that country the people are fond of the roots of bulrushes, which they think as good as onions, and one of the young men said that they had better collect some of the roots and carry them back to the camp. "
4,2,weave,"take, weave, wade, waste","It did not take them long to weave the tops of the willows into a basket, and they were just going to wade into the water and pull up the bulrush roots when a youth suddenly called out: 'After all, why should we waste our time in doing work that is only fit for women and children? "
5,0,Let,"Let, come, get",Let them come and get the roots for themselves; 
6,1,fish,"fish, get", but we will fish for eels and anything else we can get.' 
7,2,arrange,"delighted, began, arrange, made","This delighted the rest of the party, and they all began to arrange their fishing lines, made from the bark of the yellow mimosa, and to search for bait for their hooks. "
8,0,used,used,"Most of them used worms, but one, who had put a piece of raw meat for dinner into his skin wallet, cut off a little bit and baited his line with it, unseen by his companions. "
9,0,cast,"cast, receiving","For a long time they cast patiently, without receiving a single bite; "
10,2,seemed,seemed," the sun had grown low in the sky, and it seemed as if they would have to go home empty-handed, not even with a basket of roots to show; "
11,1,baited,"baited, saw, disappear"," when the youth, who had baited his hook with raw meat, suddenly saw his line disappear under the water. "
12,2,pulling,"supposed, pulling, seemed, dragged","Something, a very heavy fish he supposed, was pulling so hard that he could hardly keep his feet, and for a few minutes it seemed either as if he must let go or be dragged into the pool. "
13,0,cried,"cried, help, trembling, see, managed, land","He cried to his friends to help him, and at last, trembling with fright at what they were going to see, they managed between them to land on the bank a creature that was neither a calf nor a seal, but something of both, with a long, broad tail. "
14,0,looked,looked,"They looked at each other with horror, cold shivers running down their spines; "
15,4,know,"beheld, know"," for though they had never beheld it, there was not a man amongst them who did not know what it was--the cub of the awful Bunyip! "
16,5,flashing,"came, flashing","All of a sudden the silence was broken by a low wail, answered by another from the other side of the pool, as the mother rose up from her den and came towards them, rage flashing from her horrible yellow eyes. "
19,0,whispered,whispered,whispered the young men to each other; 
20,0,declared,"declared, caught, keep"," but the captor declared that he had caught it, and was going to keep it. "
21,7,eat,"promised, said, eat, have","'He had promised his sweetheart,' he said, 'that he would bring back enough meat for her father's house to feast on for three days, and though they could not eat the little Bunyip, her brothers and sisters should have it to play with.' "
22,0,flinging,"flinging, threw, heeding","So, flinging his spear at the mother to keep her back, he threw the little Bunyip on to his shoulders, and set out for the camp, never heeding the poor mother's cries of distress. "
24,11,landed,"startled, saw, landed","The youths had all ceased to be afraid, when they were startled by a low rushing sound behind them, and, looking round, saw that the pool was slowly rising, and the spot where they had landed the Bunyip was quite covered. "
26,0,asked,asked,they asked one of another; 
27,4,known,known," 'there was not a cloud in the sky, yet the water had risen higher already than they had ever known it do before.' "
28,6,running,"stood, watching, frozen, turned, ran, running","For an instant they stood watching as if they were frozen, then they turned and ran with all their might, the man with the Bunyip running faster than all. "
29,0,reached,"reached, looking, stopped, turned, see","When he reached a high peak over-looking all the plain he stopped to take breath, and turned to see if he was safe yet. "
32,1,run,"run, escape",They must run fast indeed if they were to escape. 
33,4,scooped,"flew, went, flung, scooped, born","So on they flew, scarcely feeling the ground as they went, till they flung themselves on the ground before the holes scooped out of the earth where they had all been born. "
34,8,know,"sitting, playing, chattering, fell, know","The old men were sitting in front, the children were playing, and the women chattering together, when the little Bunyip fell into their midst, and there was scarcely a child among them who did not know that something terrible was upon them. "
37,0,gasped,gasped,gasped one of the young men; 
40,3,cried,"seized, cried, climb"," and the youth who had caused all this terrible catastrophe, seized his sweetheart, and cried: 'I will climb with you to the top of that tree, and there no waters can reach us.' "
41,2,glanced,"spoke, touched, glanced","But, as he spoke, something cold touched him, and quickly he glanced down at his feet. "
42,0,saw,saw,"Then with a shudder he saw that they were feet no longer, but bird's claws. "
43,2,clasping,"looked, clasping, standing","He looked at the girl he was clasping, and beheld a great black bird standing at his side; "
44,3,cover,"turned, cover"," he turned to his friends, but a flock of great awkward flapping creatures stood in their place He put up his hands to cover his face, but they were no more hands, only the ends of wings; "
45,7,become,"tried, speak, heard, seemed, come, become"," and when he tried to speak, a noise such as he had never heard before seemed to come from his throat, which had suddenly become narrow and slender. "
46,1,risen,"risen, found, sitting","Already the water had risen to his waist, and he found himself sitting easily upon it, while its surface reflected back the image of a black swan, one of many. "
48,4,talk,"hear, talk"," but they are still different from other swans, for in the night-time those who listen can hear them talk in a language that is certainly not swan's language; "
49,3,made,made," and there are even sounds of laughing and talking, unlike any noise made by the swans whom we know. "
50,1,carried,carried,"The little Bunyip was carried home by its mother, and after that the waters sank back to their own channels. "
51,3,knows,"shunned, knows, put, draw","The side of the pool where she lives is always shunned by everyone, as nobody knows when she may suddenly put out her head and draw him into her mighty jaws. "
52,0,say,say,"But people say that underneath the black waters of the pool she has a house filled with beautiful things, such as mortals who dwell on the earth have no idea of. "
53,0,know,"know, tell, seen","Though how they know I cannot tell you, as nobody has ever seen it."
